Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:
5/18/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date 
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,,14 days of forecast data after forecast date
4/17/2026,1388,2719,2073,30676,106,1265,1530,0,0,Measured,,
4/18/2026,1199,2724,2149,28276,56,1010,1397,0,0,Measured,,
4/19/2026,1180,2593,2488,26332,47,688,1289,0,0,Measured,,
4/20/2026,2178,2528,2629,25236,34,391,1151,0,0,Measured,,
4/21/2026,2560,2352,2882,26892,19,469,1283,0,0,Measured,,
4/22/2026,2374,2821,3167,29648,44,381,2034,0,0,Measured,,
4/23/2026,2962,2830,3230,32728,129,317,1577,0,0,Measured,,
4/24/2026,2559,3194,3242,34176,176,347,1368,0,0,Measured,,
4/25/2026,2362,3167,2986,31912,149,341,1281,0,0,Measured,,
4/26/2026,2380,3282,3040,28940,141,339,1207,0,0,Measured,,
4/27/2026,2369,3014,3090,26704,115,333,1241,0,0,Measured,,
4/28/2026,2371,3325,2872,24640,87,328,1134,0,0,Measured,,
4/29/2026,1974,3284,2926,22092,89,327,957,0,0,Measured,,
4/30/2026,2174,3053,2946,20412,88,259,850,0,0,Measured,,
5/1/2026,2362,3063,2683,18724,78,240,785,0,0,Measured,,
5/2/2026,1766,3103,2421,17012,91,236,707,0,0,Measured,,
5/3/2026,1373,2898,2262,15360,87,229,653,0,0,Measured,,
5/4/2026,1180,2796,2095,14560,87,235,606,0,0,Measured,,
5/5/2026,1188,2281,1845,14313,100,238,743,0,0,Measured,,
5/6/2026,1190,2230,1664,14276,106,222,703,0,0,Measured,,
5/7/2026,1186,1768,1457,14008,95,234,611,0,0,Measured,,
5/8/2026,1172,1766,1352,14632,111,221,548,0,0,Measured,,
5/9/2026,1171,1763,1343,15140,131,215,485,0,0,Measured,,
5/10/2026,1183,1760,1367,14728,132,215,448,0,0,Measured,,
5/11/2026,1184,1777,1314,14186,128,235,418,0,0,Measured,,
5/12/2026,1178,1748,1160,13260,148,603,379,0,0,Measured,,
5/13/2026,1179,1762,1404,12524,169,991,343,0,0,Measured,,
5/14/2026,1189,6436,1589,11443,173,1368,326,0,0,Measured,,
5/15/2026,1176,6763,1856,10944,170,1222,305,0,0,Measured,,
5/16/2026,1171,6780,2150,10680,182,976,284,0,0,Measured,,
5/17/2026,1183,6807,2407,10990,171,654,268,0,0,Measured,,
5/18/2026,1190,8331,2556,10800,150,600,253,0,0,Forecasted,,
5/19/2026,1190,8331,2588,11187,100,600,240,0,0,Forecasted,,
5/20/2026,1190,8331,2588,11377,100,600,227,0,0,Forecasted,,
5/21/2026,1190,8331,2596,11728,100,600,217,0,0,Forecasted,,
5/22/2026,1190,8331,2200,11893,100,600,205,0,0,Forecasted,,
5/23/2026,1190,8331,2200,11919,100,600,200,0,0,Forecasted,,
5/24/2026,1190,8331,2200,12069,100,600,200,0,0,Forecasted,,
5/25/2026,1190,8331,2200,12778,100,600,200,0,0,Forecasted,,
5/26/2026,1190,8331,2200,12561,100,600,200,0,0,Forecasted,,
5/27/2026,1190,8331,2200,12097,100,600,200,0,0,Forecasted,,
5/28/2026,1190,8331,2200,12000,100,600,200,0,0,Forecasted,,
5/29/2026,1190,8331,2200,12000,100,600,200,0,0,Forecasted,,
5/30/2026,1190,8331,2200,12000,100,600,200,0,0,Forecasted,,
5/31/2026,1190,8331,2200,12000,100,600,200,0,0,Forecasted,,
