Week,OMR Bins,CVP Exports (cfs),SWP Exports (cfs),Total Exports (cfs),CVP Exports (%),SWP Exports (%)
Week 1,"-6,500","1,048",973,"2,021",52%,48%
Week 1,"-5,000","1,048",973,"2,021",52%,48%
Week 1,"-3,500","1,048",973,"2,021",52%,48%
Week 1,"-2,000","1,048",973,"2,021",52%,48%
Week 2,"-6,500",902,902,"1,804",50%,50%
Week 2,"-5,000",902,902,"1,804",50%,50%
Week 2,"-3,500",902,902,"1,804",50%,50%
Week 2,"-2,000",902,902,"1,804",50%,50%
Week 3,"-6,500",902,902,"1,804",50%,50%
Week 3,"-5,000",902,902,"1,804",50%,50%
Week 3,"-3,500",902,902,"1,804",50%,50%
Week 3,"-2,000",902,902,"1,804",50%,50%
