Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:
6/1/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date 
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,,14 days of forecast data after forecast date
5/1/2026,2362,3063,2683,18724,78,240,785,0,0,Measured,,
5/2/2026,1766,3103,2421,17012,91,236,707,0,0,Measured,,
5/3/2026,1373,2898,2262,15360,87,229,653,0,0,Measured,,
5/4/2026,1180,2796,2095,14560,87,235,606,0,0,Measured,,
5/5/2026,1188,2281,1845,14313,100,238,743,0,0,Measured,,
5/6/2026,1190,2230,1664,14276,106,222,703,0,0,Measured,,
5/7/2026,1186,1768,1457,14008,95,234,611,0,0,Measured,,
5/8/2026,1172,1766,1352,14632,111,221,548,0,0,Measured,,
5/9/2026,1171,1763,1343,15140,131,215,485,0,0,Measured,,
5/10/2026,1183,1760,1367,14728,132,215,448,0,0,Measured,,
5/11/2026,1184,1777,1314,14186,128,235,418,0,0,Measured,,
5/12/2026,1178,1748,1160,13260,148,603,379,0,0,Measured,,
5/13/2026,1179,1762,1404,12524,169,991,343,0,0,Measured,,
5/14/2026,1189,6436,1589,11443,173,1368,326,0,0,Measured,,
5/15/2026,1176,6763,1856,10944,170,1222,305,0,0,Measured,,
5/16/2026,1171,6780,2150,10680,182,976,284,0,0,Measured,,
5/17/2026,1183,6807,2407,10990,171,654,264,0,0,Measured,,
5/18/2026,1183,7063,2465,10516,168,600,253,0,0,Measured,,
5/19/2026,1174,8522,2327,9963,162,581,238,0,0,Measured,,
5/20/2026,1175,8246,2308,8906,175,573,222,0,0,Measured,,
5/21/2026,1176,3970,2295,7489,197,571,210,0,0,Measured,,
5/22/2026,1182,5362,2076,6802,207,559,198,0,0,Measured,,
5/23/2026,1171,1789,2174,7065,196,560,187,0,0,Measured,,
5/24/2026,1186,1776,2257,7038,142,579,181,0,0,Measured,,
5/25/2026,1182,1773,2145,7308,174,571,171,0,0,Measured,,
5/26/2026,1184,1773,1939,8844,184,574,166,0,0,Measured,,
5/27/2026,1179,1771,1777,9565,209,568,174,0,0,Measured,,
5/28/2026,1175,1772,1745,10544,198,580,184,0,0,Measured,,
5/29/2026,1175,1771,1903,11548,172,582,188,0,0,Measured,,
5/30/2026,1174,3621,1942,13134,165,582,187,0,0,Measured,,
5/31/2026,1173,3656,2010,13588,183,577,175,0,0,Measured,,
6/1/2026,3960,3762,2000,14991,183,577,175,0,0,Forecasted,,
6/2/2026,3960,3762,2000,14977,183,577,175,0,0,Forecasted,,
6/3/2026,3960,3762,2000,14803,183,577,175,0,0,Forecasted,,
6/4/2026,3960,3762,2000,14904,183,577,175,0,0,Forecasted,,
6/5/2026,3960,3762,2000,14905,183,577,175,0,0,Forecasted,,
6/6/2026,3960,3762,2000,14950,183,577,175,0,0,Forecasted,,
6/7/2026,3960,3762,1500,14926,183,577,175,0,0,Forecasted,,
6/8/2026,3960,3762,900,14834,183,577,175,0,0,Forecasted,,
6/9/2026,3960,3762,900,14896,183,577,175,0,0,Forecasted,,
6/10/2026,3960,3762,2000,15078,183,577,175,0,0,Forecasted,,
6/11/2026,3960,3762,2000,15078,183,577,175,0,0,Forecasted,,
6/12/2026,3960,3762,2000,15078,183,577,175,0,0,Forecasted,,
6/13/2026,3960,3762,2000,15078,183,577,175,0,0,Forecasted,,
6/14/2026,3960,3762,1500,15078,183,577,175,0,0,Forecasted,,
6/15/2026,3960,3762,1500,15078,183,577,175,0,0,Forecasted,,
6/16/2026,3960,3762,1500,15078,183,577,175,0,0,Forecasted,,
6/17/2026,3960,3762,1500,15078,183,577,175,0,0,Forecasted,,
6/18/2026,3960,3762,1500,15078,183,577,175,0,0,Forecasted,,
6/19/2026,3960,3762,1500,15078,183,577,175,0,0,Forecasted,,
6/20/2026,3960,3762,1500,15078,183,577,175,0,0,Forecasted,,
6/21/2026,3960,3762,1500,15078,183,577,175,0,0,Forecasted,,
6/22/2026,3960,3762,1500,15078,183,577,175,0,0,Forecasted,,
6/23/2026,3960,3762,1500,15078,183,577,175,0,0,Forecasted,,
6/24/2026,3960,3762,1500,15078,183,577,175,0,0,Forecasted,,
