Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:
2/2/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date 
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,DCC,14 days of forecast data after forecast date
1/2/2026,3355,7016,1928,53809,314,1133,2012,0,0,Measured,0,
1/3/2026,3168,5389,2495,55873,414,1153,3166,0,0,Measured,0,
1/4/2026,7135,5338,2583,67019,437,1345,6278,0,12176,Measured,0,
1/5/2026,5549,6943,3387,75132,502,1289,5138,0,46355,Measured,0,
1/6/2026,6543,6970,5083,75675,619,1464,2801,0,56697,Measured,0,
1/7/2026,6733,8329,4454,75866,602,1534,2027,0,54406,Measured,0,
1/8/2026,6335,8365,3516,73138,607,1803,1687,0,49826,Measured,0,
1/9/2026,5540,8284,3223,73314,540,1876,1395,0,45962,Measured,0,
1/10/2026,5148,8271,3132,71327,505,1884,1179,0,30633,Measured,0,
1/11/2026,4956,8289,3066,69251,503,1905,1027,0,12645,Measured,0,
1/12/2026,4943,8305,2945,65955,448,1910,916,0,3739,Measured,0,
1/13/2026,3944,6934,2835,62786,329,1931,829,0,1,Measured,0,
1/14/2026,3952,6942,2732,58433,299,1939,766,0,0,Measured,0,
1/15/2026,3966,6940,2649,53755,299,1931,732,0,0,Measured,0,
1/16/2026,3762,6948,2610,50057,235,1803,702,0,0,Measured,0,
1/17/2026,3748,6938,2556,46228,200,1624,660,0,0,Measured,0,
1/18/2026,3758,6929,2514,43162,199,1611,622,0,0,Measured,0,
1/19/2026,3767,6930,2487,40755,200,1619,587,0,0,Measured,0,
1/20/2026,5536,6905,2470,37898,199,1594,551,0,0,Measured,0,
1/21/2026,5742,6905,2459,36328,199,1473,521,0,0,Measured,0,
1/22/2026,5748,6912,2485,35340,157,1270,498,0,0,Measured,0,
1/23/2026,5747,6912,2564,33742,104,1091,476,0,0,Measured,0,
1/24/2026,5932,6904,2389,32348,105,912,458,0,0,Measured,0,
1/25/2026,5744,6890,2248,30696,106,740,431,0,0,Measured,0,
1/26/2026,5550,6885,2144,29120,106,554,405,0,0,Measured,0,
1/27/2026,5549,6905,2065,26996,106,394,386,0,0,Measured,0,
1/28/2026,5554,6916,1994,25081,106,359,371,0,0,Measured,0,
1/29/2026,5352,6934,1958,23175,87,423,355,0,0,Measured,0,
1/30/2026,5343,6952,1925,21512,53,442,339,0,0,Measured,0,
1/31/2026,5337,6958,1923,22167,41,409,330,0,0,Measured,0,
2/1/2026,593,4273,2010,28007,43,415,321,0,0,Measured,0,
2/2/2026,595,1587,2173,32568,43,415,311,0,0,Forecasted,0,
2/3/2026,595,1587,2295,32916,43,415,304,0,0,Forecasted,0,
2/4/2026,7339,8331,2326,32753,43,415,300,0,0,Forecasted,0,
2/5/2026,7339,8331,2326,32836,43,415,296,0,0,Forecasted,0,
2/6/2026,7339,8331,2318,33237,43,415,292,0,0,Forecasted,0,
2/7/2026,7339,8331,2310,33403,43,415,280,0,0,Forecasted,0,
2/8/2026,7339,8331,2300,33381,43,415,270,0,0,Forecasted,0,
2/9/2026,7339,8331,2290,33310,43,415,260,0,0,Forecasted,0,
2/10/2026,7339,8331,2280,33335,43,415,250,0,0,Forecasted,0,
2/11/2026,7339,8331,2280,33682,43,415,250,0,0,Forecasted,0,
2/12/2026,7339,8331,2280,33682,43,415,250,0,0,Forecasted,0,
2/13/2026,7339,8331,2280,33682,43,415,250,0,0,Forecasted,0,
2/14/2026,7339,8331,2280,33682,43,415,250,0,0,Forecasted,0,
2/15/2026,7339,8331,2280,33682,43,415,250,0,0,Forecasted,0,
2/16/2026,7339,8331,2280,33682,43,415,250,0,0,Forecasted,0,
2/17/2026,7339,8331,2280,33682,43,415,250,0,0,Forecasted,0,
2/18/2026,7339,8331,2280,33682,43,415,250,0,0,Forecasted,0,
2/19/2026,7339,8331,2280,33682,43,415,250,0,0,Forecasted,0,
2/20/2026,7339,8331,2280,33682,43,415,250,0,0,Forecasted,0,
2/21/2026,7339,8331,2280,33682,43,415,250,0,0,Forecasted,0,
2/22/2026,7339,8331,2280,33682,43,415,250,0,0,Forecasted,0,
2/23/2026,7339,8331,2280,33682,43,415,250,0,0,Forecasted,0,
2/24/2026,7339,8331,2280,33682,43,415,250,0,0,Forecasted,0,
